DayAheadForecast,WeekAheadForecast,MonitoredCapacity,LoadFactor,MostRecentForecast
2487.5,1256.12,3369.05,76.96,2578.94
2470.91,1248.15,3369.05,76.12,2554.99
2444.92,1236.14,3369.05,75.02,2521.01
2408.36,1220.21,3369.05,73.83,2475.66
2361.39,1200.24,3369.05,71.59,2419.66
2305.17,1176.24,3369.05,68.45,2355.2
2240.26,1151.5,3369.05,66.45,2284.57
2169.77,1125.85,3369.05,63.63,2207.68
2092.27,1094.61,3369.05,61.77,2025.74
1998.95,1057.98,3369.05,59.27,1926.79
1887.68,1016.42,3369.05,56.32,1822.09
1772.0,970.3,3369.05,52.99,1715.73
1659.26,917.62,3369.05,48.85,1605.89
1535.84,857.34,3369.05,45.99,1484.47
1400.47,792.05,3369.05,43.33,1355.3
1262.57,725.01,3369.05,38.8,1226.22
1121.54,658.95,3369.05,35.23,1086.82
970.03,594.53,3369.05,30.15,940.13
815.71,531.41,3369.05,26.26,793.18
670.38,463.39,3369.05,22.36,656.66
533.34,396.08,3369.05,18.79,526.04
402.38,330.79,3369.05,15.75,401.78
289.67,274.74,3369.05,12.27,295.62
201.45,224.44,3369.05,9.13,212.41
147.6,176.35,3369.05,6.66,158.3
114.69,126.83,3369.05,4.58,122.25
85.22,82.8,3369.05,2.92,89.38
58.44,48.17,3369.05,1.68,59.58
29.48,21.09,3369.05,0.68,29.31
6.91,4.49,3369.05,0.1,6.63
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
3.85,3.54,3369.05,0.0,4.07
21.28,20.27,3369.05,0.39,21.88
50.46,48.57,3369.05,1.24,50.99
87.34,83.96,3369.05,2.42,86.89
134.14,127.36,3369.05,3.71,132.25
184.92,172.76,3369.05,5.24,181.82
237.3,218.31,3369.05,6.95,234.53
298.31,273.13,3369.05,8.86,297.67
369.9,343.71,3369.05,10.71,373.07
449.04,426.42,3369.05,12.68,461.97
533.64,510.09,3369.05,14.97,560.22
617.23,599.99,3369.05,17.04,660.08
705.45,695.17,3369.05,20.3,761.18
795.77,790.46,3369.05,23.25,866.71
883.31,888.47,3369.05,25.78,972.96
973.5,986.03,3369.05,29.01,1082.24
1073.66,1080.79,3369.05,32.16,1200.73
1179.8,1162.3,3369.05,38.1,1316.18
1281.36,1233.72,3369.05,40.76,1431.36
1377.39,1296.58,3369.05,46.21,1541.41
1475.7,1355.99,3369.05,50.47,1648.13
1571.18,1407.6,3369.05,54.82,1658.44
1662.11,1449.02,3369.05,58.73,1743.54
1748.5,1482.0,3369.05,62.62,1825.81
1833.54,1509.36,3369.05,66.57,1905.85
1917.41,1531.47,3369.05,67.82,1977.29
1988.67,1548.88,3369.05,69.6,2041.52
2049.1,1562.12,3369.05,71.34,2098.75
2097.28,1570.08,3369.05,72.48,2150.02
2136.55,1572.79,3369.05,73.69,2190.13
2169.8,1570.36,3369.05,74.47,2216.0
2193.02,1563.19,3369.05,73.95,2230.59
2205.97,1551.25,3369.05,72.9,2236.44
2209.9,1535.14,3369.05,72.68,2413.5
2204.41,1515.29,3369.05,72.74,2400.59
2190.25,1490.8,3369.05,70.94,2376.53
2167.24,1461.81,3369.05,70.0,2342.83
2134.26,1428.59,3369.05,68.73,2298.92
2090.34,1387.69,3369.05,67.2,2244.35
2033.5,1345.15,3369.05,65.57,2174.05
1964.44,1301.97,3369.05,63.32,2094.58
1885.6,1257.43,3369.05,60.35,2030.98
1795.94,1207.93,3369.05,57.31,1927.22
1700.48,1150.96,3369.05,54.52,1818.29
1601.99,1083.97,3369.05,50.61,1708.43
1498.72,1010.04,3369.05,48.03,1597.48
1389.82,934.55,3369.05,44.07,1475.15
1274.44,854.82,3369.05,40.35,1349.61
1156.15,774.4,3369.05,36.32,1219.33
1024.31,694.66,3369.05,32.96,1081.88
890.4,615.04,3369.05,28.83,935.01
760.25,536.33,3369.05,25.33,790.84
633.55,465.88,3369.05,22.16,653.29
513.0,398.7,3369.05,18.52,523.17
400.09,331.89,3369.05,15.08,399.67
303.83,268.62,3369.05,11.73,293.33
225.2,217.55,3369.05,9.27,208.6
169.27,175.04,3369.05,6.91,152.99
127.65,130.93,3369.05,5.16,117.28
90.43,85.56,3369.05,3.54,86.47
58.65,49.31,3369.05,2.08,58.76
29.71,22.5,3369.05,0.9,30.73
7.51,5.25,3369.05,0.16,7.97
0.01,0.01,3369.05,0.0,0.01
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
5.38,3.27,3369.05,0.0,5.86
24.63,16.87,3369.05,0.23,26.01
53.17,40.25,3369.05,0.75,54.88
87.36,72.07,3369.05,1.55,88.17
130.18,115.14,3369.05,2.59,129.29
176.42,163.25,3369.05,3.68,176.1
228.79,206.82,3369.05,4.86,230.38
295.53,252.06,3369.05,5.92,301.99
374.86,302.92,3369.05,7.17,384.83
463.44,359.15,3369.05,8.42,395.33
556.47,416.91,3369.05,9.85,483.27
647.1,472.86,3369.05,11.11,570.29
740.96,529.4,3369.05,12.31,651.87
837.58,588.94,3369.05,13.41,730.64
927.52,649.87,3369.05,14.58,810.18
1015.48,709.02,3369.05,15.16,892.88
1104.81,767.25,3369.05,15.65,978.5
1194.89,821.66,3369.05,16.17,1058.6
1281.32,872.13,3369.05,17.51,1133.9
1367.5,921.88,3369.05,18.62,1208.39
1455.19,969.28,3369.05,19.62,1281.83
1535.46,1012.16,3369.05,20.26,760.69
1605.96,1051.3,3369.05,21.24,806.49
1671.26,1086.2,3369.05,22.15,847.1
1733.73,1117.49,3369.05,23.63,887.27
1792.71,1144.9,3369.05,24.09,924.79
1846.44,1166.98,3369.05,25.46,961.48
1887.7,1184.8,3369.05,26.42,994.15
1911.8,1198.86,3369.05,28.12,1021.75
1925.49,1209.21,3369.05,28.89,1044.83
1932.49,1215.82,3369.05,30.53,1076.95
1931.4,1218.6,3369.05,31.61,1105.03
1922.29,1217.54,3369.05,33.32,1135.38
1906.16,1212.65,3369.05,35.03,1109.13
1883.29,1204.2,3369.05,36.22,1128.79
1854.61,1192.53,3369.05,36.44,1144.08
1819.83,1176.97,3369.05,36.96,1150.2
1778.83,1157.51,3369.05,36.05,1151.45
1730.12,1134.28,3369.05,35.65,1149.44
1671.71,1107.28,3369.05,35.16,1141.61
1609.42,1076.57,3369.05,33.99,1131.83
1544.62,1042.25,3369.05,33.09,1130.24
1477.49,1003.77,3369.05,31.77,1091.89
1409.09,961.72,3369.05,30.68,1047.87
1333.75,916.04,3369.05,30.13,998.81
1252.5,865.9,3369.05,29.0,943.36
1167.17,808.53,3369.05,27.72,894.35
1076.74,746.56,3369.05,25.69,837.7
981.01,682.79,3369.05,24.27,771.71
879.11,618.27,3369.05,21.79,697.66
774.94,556.5,3369.05,19.58,628.51
669.02,493.86,3369.05,17.46,556.1
567.26,433.88,3369.05,15.24,487.28
464.12,375.42,3369.05,12.92,410.24
369.19,316.73,3369.05,10.7,348.95
287.1,264.29,3369.05,8.76,287.53
218.55,215.63,3369.05,6.88,223.79
167.64,171.47,3369.05,5.06,175.88
127.03,124.91,3369.05,3.57,125.82
89.42,82.52,3369.05,2.3,83.93
57.39,48.87,3369.05,1.29,49.25
29.18,23.1,3369.05,0.55,22.34
7.68,5.9,3369.05,0.12,5.84
0.05,0.04,3369.05,0.0,0.04
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
7.99,6.81,3369.05,0.0,7.77
30.89,27.76,3369.05,0.42,30.39
58.7,55.94,3369.05,1.09,58.41
86.36,87.11,3369.05,2.01,86.89
118.73,122.69,3369.05,3.23,120.98
154.29,158.41,3369.05,4.72,158.68
206.32,202.62,3369.05,6.4,210.77
289.51,269.39,3369.05,8.33,291.39
394.93,360.17,3369.05,10.65,393.33
520.46,470.76,3369.05,13.34,512.14
652.36,583.38,3369.05,16.5,636.47
791.02,705.22,3369.05,19.78,769.87
939.64,838.98,3369.05,23.74,909.12
1088.33,977.47,3369.05,27.93,1056.07
1229.14,1124.29,3369.05,33.07,1197.18
1357.39,1268.7,3369.05,38.95,1324.73
1491.68,1402.99,3369.05,45.09,1456.15
1616.51,1517.43,3369.05,50.27,1583.57
1732.54,1623.2,3369.05,54.13,1702.75
1844.95,1727.53,3369.05,57.49,1821.16
1951.68,1829.35,3369.05,60.89,1936.14
2043.48,1921.67,3369.05,63.2,2179.23
2123.46,1998.8,3369.05,65.49,2273.63
2191.82,2062.48,3369.05,67.6,2357.94
2252.23,2118.68,3369.05,69.4,2443.22
2304.51,2166.55,3369.05,70.49,2523.93
2348.2,2206.18,3369.05,71.13,2568.8
2379.63,2237.85,3369.05,72.11,2599.42
2395.89,2259.51,3369.05,72.09,2617.28
2401.39,2271.46,3369.05,72.73,2624.94
2399.24,2276.14,3369.05,72.63,2636.41
2388.4,2274.4,3369.05,72.94,2638.68
2366.97,2266.38,3369.05,72.28,2623.28
2336.52,2251.99,3369.05,72.0,2401.89
2299.1,2230.39,3369.05,71.47,2385.04
2259.53,2200.07,3369.05,70.07,2358.88
2214.55,2160.72,3369.05,68.54,2309.98
2162.33,2113.4,3369.05,67.1,2251.99
2103.41,2059.31,3369.05,66.2,2189.43
2034.84,1999.48,3369.05,63.93,2123.36
1957.59,1934.97,3369.05,61.94,2049.14
1868.88,1858.39,3369.05,58.74,1978.4
1771.35,1766.44,3369.05,55.64,1869.24
1675.55,1666.85,3369.05,52.77,1762.46
1574.37,1569.33,3369.05,50.0,1654.49
1466.4,1468.23,3369.05,47.19,1540.07
1352.06,1358.97,3369.05,43.88,1414.87
1238.82,1234.62,3369.05,40.28,1289.73
1124.42,1101.0,3369.05,35.17,1164.62
1000.79,966.8,3369.05,31.24,1032.17
869.46,837.9,3369.05,27.2,896.0
745.48,711.57,3369.05,22.64,764.89
630.72,592.52,3369.05,18.19,645.07
516.15,483.4,3369.05,14.69,527.03
408.15,375.61,3369.05,11.17,414.67
