DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
1535.5,917.45,2149.62,571.63,2256.3,3157.18,0.35,1100.72,1093.1
1514.54,896.09,2127.29,565.19,2253.34,3157.18,0.31,1077.8,994.27
1493.56,874.73,2104.94,558.76,2250.37,3157.18,0.32,1054.89,1003.97
1472.59,853.37,2082.6,552.32,2247.41,3157.18,0.32,1031.96,995.88
1443.6,824.03,2053.64,544.98,2244.7,3157.18,0.35,1016.88,1105.96
1406.56,786.74,2018.04,536.77,2242.23,3157.18,0.32,1009.67,1025.91
1369.53,749.44,1982.45,528.54,2239.74,3157.18,0.28,1002.46,880.37
1332.49,712.16,1946.85,520.32,2237.27,3157.18,0.24,995.25,763.36
1298.64,679.55,1912.52,511.39,2235.34,3157.18,0.23,914.76,738.09
1267.96,651.65,1879.44,501.76,2233.96,3157.18,0.22,898.11,710.23
1237.29,623.76,1846.35,492.14,2232.58,3157.18,0.24,881.44,752.1
1206.61,595.86,1813.27,482.51,2231.2,3157.18,0.23,864.79,732.08
1177.38,573.09,1778.2,472.51,2230.0,3157.18,0.27,849.68,862.0
1149.63,555.45,1741.15,462.15,2229.0,3157.18,0.28,836.11,869.07
1121.86,537.82,1704.09,451.8,2228.0,3157.18,0.26,822.54,809.18
1094.1,520.18,1667.03,441.44,2226.99,3157.18,0.26,808.97,827.37
1066.63,501.34,1631.38,431.12,2225.74,3157.18,0.27,792.34,852.44
1039.45,481.28,1597.11,420.84,2224.23,3157.18,0.26,772.65,814.73
1012.26,461.22,1562.87,410.56,2222.72,3157.18,0.23,752.96,738.62
985.09,441.16,1528.6,400.28,2221.22,3157.18,0.21,733.28,653.8
849.67,365.8,1334.05,590.2,2184.6,3157.18,0.18,714.39,578.84
829.78,349.61,1310.46,585.29,2181.24,3157.18,0.17,696.31,539.7
809.87,333.43,1286.87,580.39,2177.88,3157.18,0.19,678.24,600.11
789.98,317.24,1263.28,575.47,2174.52,3157.18,0.2,660.16,624.39
770.95,302.85,1239.65,570.25,2168.64,3157.18,0.21,648.85,649.97
752.81,290.23,1216.0,564.7,2160.24,3157.18,0.21,644.31,652.13
734.66,277.61,1192.36,559.18,2151.84,3157.18,0.2,639.76,631.88
716.51,264.99,1168.71,553.64,2143.44,3157.18,0.21,635.23,651.25
702.09,255.29,1149.57,547.76,2133.1,3157.18,0.2,626.08,622.65
691.38,248.5,1134.94,541.51,2120.82,3157.18,0.17,612.32,546.19
680.66,241.71,1120.31,535.27,2108.56,3157.18,0.16,598.57,491.04
669.95,234.93,1105.67,529.03,2096.29,3157.18,0.16,584.81,500.38
658.32,227.23,1090.18,522.35,2083.13,3157.18,0.19,571.45,585.44
645.79,218.64,1073.84,515.23,2069.09,3157.18,0.18,558.48,568.03
633.25,210.04,1057.48,508.11,2055.07,3157.18,0.16,545.51,514.61
620.72,201.45,1041.14,500.99,2041.03,3157.18,0.16,532.54,501.52
611.66,195.78,1028.88,493.41,2026.64,3157.18,0.16,519.46,512.18
606.05,193.04,1020.73,485.34,2011.87,3157.18,0.16,514.53,517.06
600.47,190.29,1012.57,477.31,1997.11,3157.18,0.17,509.59,536.8
594.87,187.55,1004.42,469.25,1982.35,3157.18,0.18,504.67,554.45
589.06,184.33,996.4,460.76,1967.44,3157.18,0.19,502.28,602.91
