DayAheadForecast,WeekAheadForecast,MonitoredCapacity,LoadFactor,MostRecentForecast
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
8.48,7.54,3369.05,0.0,9.03
33.3,32.35,3369.05,0.8,35.18
63.45,68.25,3369.05,1.86,66.44
93.68,112.85,3369.05,3.33,96.71
130.04,167.08,3369.05,5.29,132.84
192.91,230.17,3369.05,7.74,195.39
295.69,308.6,3369.05,10.67,299.02
412.98,392.51,3369.05,14.08,468.58
541.06,483.08,3369.05,17.6,600.84
687.59,574.03,3369.05,21.36,743.45
834.11,675.03,3369.05,25.37,900.95
989.4,777.65,3369.05,29.4,1059.74
1144.77,877.26,3369.05,33.4,1222.72
1296.94,980.93,3369.05,37.29,1381.56
1445.64,1086.85,3369.05,41.0,1516.04
1575.09,1182.2,3369.05,44.54,1641.39
1690.04,1267.37,3369.05,47.55,1758.31
1791.05,1347.16,3369.05,50.54,1865.69
1882.97,1423.22,3369.05,53.3,1956.24
1969.56,1497.08,3369.05,55.74,1900.28
2055.79,1562.68,3369.05,57.97,1985.04
2128.37,1628.69,3369.05,60.15,2060.01
2183.3,1687.3,3369.05,61.95,2126.54
2230.14,1735.93,3369.05,63.38,2185.76
2274.21,1776.97,3369.05,64.57,2238.5
2308.22,1815.28,3369.05,65.48,2283.53
2334.76,1847.38,3369.05,66.38,2319.6
2351.7,1870.16,3369.05,66.56,2346.3
2359.19,1888.44,3369.05,67.11,2363.54
2353.51,1901.28,3369.05,67.18,2371.27
2330.87,1907.29,3369.05,66.57,2370.22
2300.68,1906.36,3369.05,66.2,2264.15
2225.13,1898.33,3369.05,65.41,2249.03
2142.73,1883.39,3369.05,64.32,2225.04
2049.87,1864.34,3369.05,62.52,2203.33
1952.75,1837.52,3369.05,59.02,2173.56
1890.07,1803.97,3369.05,56.11,2122.86
1822.42,1764.81,3369.05,51.9,2062.18
1755.15,1723.04,3369.05,48.25,1999.44
1679.93,1671.7,3369.05,43.87,1740.23
1587.9,1604.55,3369.05,39.36,1662.27
1492.16,1535.87,3369.05,37.76,1571.96
1408.98,1458.19,3369.05,37.72,1477.78
1323.17,1369.26,3369.05,37.29,1374.62
1229.65,1272.88,3369.05,33.94,1273.47
1124.35,1168.14,3369.05,30.26,1170.36
1027.53,1061.86,3369.05,26.64,1051.35
929.96,952.56,3369.05,24.58,925.91
821.32,841.68,3369.05,20.83,806.17
714.58,735.4,3369.05,16.31,700.54
620.02,626.24,3369.05,13.42,598.29
526.83,527.13,3369.05,10.14,501.36
429.46,432.32,3369.05,8.49,409.0
340.42,339.96,3369.05,7.08,319.59
256.76,255.24,3369.05,4.82,237.55
186.03,186.81,3369.05,3.24,170.62
129.46,130.41,3369.05,1.94,119.63
82.27,82.97,3369.05,1.0,77.67
43.22,44.41,3369.05,0.29,42.18
12.79,13.89,3369.05,0.03,12.97
0.37,0.5,3369.05,0.0,0.43
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
5.46,6.28,3369.05,0.0,4.19
27.36,30.15,3369.05,0.03,21.96
60.62,66.0,3369.05,0.28,51.82
98.78,108.18,3369.05,0.97,89.28
145.3,158.85,3369.05,2.22,138.26
205.55,221.04,3369.05,3.6,199.15
284.11,303.95,3369.05,4.98,266.85
369.63,394.0,3369.05,6.74,277.2
462.84,493.05,3369.05,7.98,347.5
557.55,590.88,3369.05,10.08,420.73
661.53,699.54,3369.05,13.18,499.06
770.13,811.58,3369.05,16.01,579.08
881.71,926.34,3369.05,20.17,661.56
999.11,1046.18,3369.05,24.17,747.72
1112.35,1161.6,3369.05,29.31,836.94
1219.61,1268.08,3369.05,33.52,927.98
1321.41,1362.17,3369.05,37.07,1018.34
1419.16,1449.65,3369.05,40.74,1113.46
1509.83,1532.04,3369.05,43.71,1205.28
1598.33,1606.69,3369.05,46.27,1577.94
1682.89,1668.71,3369.05,47.79,1680.93
1759.52,1723.25,3369.05,49.89,1778.66
1825.72,1770.09,3369.05,48.77,1836.91
1887.62,1805.48,3369.05,47.68,1892.54
1938.99,1833.31,3369.05,45.81,1941.97
1971.86,1855.02,3369.05,42.57,1980.29
1993.06,1871.24,3369.05,39.91,2005.18
2005.7,1881.78,3369.05,36.87,2021.68
2006.93,1887.0,3369.05,36.99,2024.72
2000.61,1886.53,3369.05,39.38,2014.97
1990.37,1880.4,3369.05,39.49,1999.63
1974.04,1868.87,3369.05,41.11,1200.49
1952.43,1852.49,3369.05,44.73,1211.25
1925.13,1830.43,3369.05,42.37,1220.14
