DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
709.53,321.55,1098.72,51.99,789.38,2767.11,0.22,711.14,609.95
715.39,326.75,1105.14,50.99,785.25,2767.11,0.22,722.06,614.77
721.23,331.93,1111.58,50.01,781.12,2767.11,0.23,732.98,625.61
727.09,337.12,1118.0,49.02,776.99,2767.11,0.23,743.9,637.65
734.13,342.12,1127.12,47.93,773.16,2767.11,0.24,756.85,666.74
742.36,346.92,1138.92,46.74,769.62,2767.11,0.24,771.84,672.38
750.61,351.72,1150.71,45.55,766.08,2767.11,0.25,786.82,686.58
758.85,356.52,1162.51,44.36,762.55,2767.11,0.26,801.8,719.93
768.14,364.55,1173.25,43.2,759.34,2767.11,0.26,747.78,723.08
778.49,375.83,1182.91,42.05,756.43,2767.11,0.26,779.19,718.6
788.84,387.09,1192.56,40.89,753.52,2767.11,0.26,810.61,726.08
799.18,398.37,1202.22,39.74,750.61,2767.11,0.27,842.02,751.37
808.91,409.92,1209.63,38.68,748.12,2767.11,0.28,867.13,783.31
818.01,421.75,1214.8,37.71,746.02,2767.11,0.3,885.91,818.85
827.09,433.59,1219.97,36.74,743.92,2767.11,0.31,904.68,854.39
836.18,445.42,1225.13,35.77,741.81,2767.11,0.31,923.46,870.46
842.35,452.58,1229.38,34.91,740.21,2767.11,0.32,897.8,876.03
845.58,455.05,1232.68,34.15,739.12,2767.11,0.31,912.23,845.34
848.82,457.51,1235.97,33.38,738.01,2767.11,0.29,926.65,801.24
852.05,459.97,1239.28,32.63,736.92,2767.11,0.27,941.07,756.58
853.74,462.4,1239.61,31.99,736.5,2767.11,0.28,949.85,764.87
853.86,464.75,1236.97,31.49,736.76,2767.11,0.28,953.01,765.92
854.01,467.11,1234.34,31.0,737.01,2767.11,0.28,956.15,781.62
854.14,469.47,1231.7,30.5,737.28,2767.11,0.28,959.3,785.53
855.92,474.7,1229.49,30.21,738.31,2767.11,0.28,963.34,770.34
859.33,482.82,1227.68,30.14,740.12,2767.11,0.29,968.3,797.54
862.75,490.93,1225.89,30.05,741.92,2767.11,0.3,973.25,825.29
866.17,499.04,1224.08,29.98,743.73,2767.11,0.3,978.21,830.88
875.25,511.99,1228.13,30.08,746.37,2767.11,0.32,982.0,878.92
890.0,529.78,1238.0,30.35,749.85,2767.11,0.32,984.63,897.98
904.74,547.55,1247.88,30.65,753.33,2767.11,0.34,987.26,933.26
919.49,565.34,1257.76,30.93,756.81,2767.11,0.34,989.89,942.18
934.45,581.89,1269.35,31.35,761.11,2767.11,0.34,998.78,943.78
949.61,597.21,1282.67,31.93,766.23,2767.11,0.35,1013.93,957.47
964.77,612.53,1296.0,32.5,771.36,2767.11,0.35,1029.07,977.45
979.94,627.86,1309.33,33.08,776.48,2767.11,0.36,1044.21,997.63
998.35,646.47,1325.79,33.76,782.45,2767.11,0.35,1023.71,975.35
1019.99,668.39,1345.38,34.59,789.26,2767.11,0.38,1041.71,1041.03
1041.64,690.31,1364.97,35.41,796.07,2767.11,0.39,1059.69,1089.97
1063.28,712.23,1384.56,36.24,802.88,2767.11,0.39,1077.69,1080.2
1085.8,732.69,1410.22,37.18,810.56,2767.11,0.39,1098.13,1072.63
1109.16,751.69,1441.96,38.27,819.11,2767.11,0.4,1121.0,1095.06
1132.54,770.69,1473.69,39.35,827.66,2767.11,0.4,1143.87,1117.78
1155.9,789.69,1505.42,40.44,836.21,2767.11,0.42,1166.75,1161.96
1187.07,820.32,1538.61,41.63,845.69,2767.11,0.43,1187.14,1196.78
1226.01,862.6,1573.23,42.93,856.09,2767.11,0.44,1205.03,1208.18
1264.96,904.86,1607.86,44.22,866.49,2767.11,0.45,1222.93,1241.16
1303.9,947.14,1642.48,45.52,876.89,2767.11,0.45,1240.82,1241.5
1339.98,983.37,1678.28,46.97,888.06,2767.11,0.47,1264.64,1291.25
1373.17,1013.6,1715.22,48.57,900.01,2767.11,0.46,1294.37,1281.57
1406.34,1043.82,1752.17,50.19,911.96,2767.11,0.46,1324.11,1284.3
1439.53,1074.05,1789.11,51.79,923.91,2767.11,0.48,1353.84,1332.68
1471.41,1105.47,1822.03,53.49,936.23,2767.11,0.49,1378.43,1368.17
1501.99,1138.09,1850.93,55.28,948.92,2767.11,0.51,1397.88,1403.68
1532.57,1170.69,1879.83,57.04,961.62,2767.11,0.53,1417.31,1474.22
1563.15,1203.31,1908.73,58.82,974.31,2767.11,0.56,1436.75,1554.72
1589.4,1233.53,1931.3,60.61,986.87,2767.11,0.58,1501.7,1596.36
1611.32,1261.34,1947.56,62.39,999.31,2767.11,0.58,1522.43,1591.85
1633.24,1289.16,1963.79,64.17,1011.73,2767.11,0.58,1543.15,1606.22
1655.16,1316.97,1980.05,65.94,1024.16,2767.11,0.58,1563.88,1603.08
1670.41,1333.28,1989.03,67.69,1035.98,2767.11,0.58,1580.76,1612.36
1679.0,1338.1,1990.76,69.39,1047.18,2767.11,0.57,1593.79,1576.35
1687.6,1342.92,1992.48,71.09,1058.39,2767.11,0.57,1606.81,1574.26
1696.18,1347.74,1994.21,72.8,1069.59,2767.11,0.59,1619.84,1626.75
1701.71,1347.29,1993.29,74.51,1079.65,2767.11,0.56,1629.92,1563.39
1704.17,1341.6,1989.74,76.21,1088.59,2767.11,0.56,1637.06,1545.02
1706.62,1335.9,1986.2,77.92,1097.53,2767.11,0.54,1644.19,1505.33
1709.08,1330.21,1982.65,79.62,1106.46,2767.11,0.52,1651.33,1448.54
1709.03,1321.82,1977.17,81.24,1113.8,2767.11,0.53,1656.79,1463.75
1706.5,1310.73,1969.72,82.78,1119.55,2767.11,0.54,1660.58,1489.08
1703.94,1299.65,1962.29,84.33,1125.29,2767.11,0.52,1664.38,1449.81
1701.4,1288.57,1954.84,85.86,1131.03,2767.11,0.53,1668.18,1467.36
1695.42,1275.24,1944.85,87.21,1134.84,2767.11,0.53,1666.37,1458.5
1686.01,1259.66,1932.29,88.36,1136.72,2767.11,0.54,1658.97,1489.78
1676.59,1244.09,1919.73,89.52,1138.6,2767.11,0.52,1651.58,1449.02
1667.18,1228.52,1907.17,90.67,1140.48,2767.11,0.53,1644.18,1465.5
