DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
155.02,46.74,265.65,157.59,874.37,3069.29,0.03,131.6,84.81
155.89,49.22,264.72,153.2,868.06,3069.29,0.02,126.77,72.7
156.76,51.7,263.78,148.8,861.74,3069.29,0.02,121.95,74.75
157.63,54.18,262.85,144.42,855.44,3069.29,0.03,117.12,79.18
156.01,54.5,259.32,139.73,848.34,3069.29,0.02,112.82,72.13
151.93,52.65,253.21,134.74,840.49,3069.29,0.02,109.08,54.19
147.84,50.83,247.1,129.73,832.64,3069.29,0.02,105.3,49.93
143.77,48.99,240.99,124.74,824.79,3069.29,0.01,101.55,38.46
140.47,47.43,236.0,119.58,816.58,3069.29,0.01,55.8,24.28
137.97,46.16,232.14,114.24,808.03,3069.29,0.01,57.24,20.43
135.47,44.88,228.26,108.9,799.47,3069.29,0.01,58.67,16.32
132.97,43.6,224.4,103.56,790.92,3069.29,0.0,60.12,12.69
131.0,42.47,221.49,98.2,782.35,3069.29,0.0,61.84,12.27
129.57,41.46,219.55,92.82,773.81,3069.29,0.0,63.85,14.66
128.12,40.44,217.61,87.42,765.26,3069.29,0.01,65.86,19.43
126.69,39.43,215.66,82.04,756.72,3069.29,0.01,67.86,20.68
125.38,38.11,214.57,76.9,748.53,3069.29,0.0,37.05,13.36
124.23,36.48,214.35,71.99,740.68,3069.29,0.0,40.08,13.1
123.07,34.84,214.12,67.08,732.83,3069.29,0.0,43.1,12.57
121.91,33.21,213.9,62.17,724.98,3069.29,0.0,46.13,13.6
120.88,32.12,213.39,57.77,717.89,3069.29,0.0,49.12,15.34
120.0,31.58,212.59,53.87,711.55,3069.29,0.01,52.08,18.44
119.12,31.04,211.79,49.99,705.21,3069.29,0.01,55.04,22.86
118.23,30.5,210.99,46.1,698.87,3069.29,0.01,58.0,30.03
116.54,29.98,208.27,42.9,693.57,3069.29,0.01,59.64,36.09
114.05,29.48,203.61,40.41,689.29,3069.29,0.01,59.93,38.65
111.55,28.98,198.96,37.92,685.03,3069.29,0.01,60.23,45.32
109.06,28.48,194.31,35.43,680.75,3069.29,0.02,60.52,50.95
105.25,26.98,188.28,33.64,677.78,3069.29,0.01,59.72,39.4
100.15,24.46,180.86,32.57,676.1,3069.29,0.01,57.81,32.66
