DayAheadForecast,WeekAheadForecast,MonitoredCapacity,LoadFactor,MostRecentForecast
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
1.25,0.92,3369.05,0.0,1.09
9.37,5.65,3369.05,0.24,10.49
28.97,14.46,3369.05,1.0,31.35
56.27,25.47,3369.05,2.34,61.58
90.18,38.26,3369.05,4.37,99.03
127.27,52.29,3369.05,6.07,139.93
163.73,67.02,3369.05,8.28,179.53
195.94,81.98,3369.05,9.39,221.58
228.47,97.28,3369.05,10.81,267.86
263.71,112.34,3369.05,11.42,314.5
297.25,125.93,3369.05,11.59,354.14
329.22,138.31,3369.05,12.25,388.83
359.29,149.68,3369.05,13.22,424.17
386.94,159.46,3369.05,13.18,493.1
409.41,167.56,3369.05,10.96,520.08
422.07,173.9,3369.05,9.4,522.19
425.18,178.49,3369.05,7.74,498.51
423.71,181.35,3369.05,6.91,471.9
420.51,182.48,3369.05,7.74,449.33
410.65,181.86,3369.05,9.2,423.79
393.38,179.51,3369.05,8.57,399.35
373.96,175.41,3369.05,7.91,374.21
348.43,169.56,3369.05,7.62,347.49
315.79,161.95,3369.05,9.32,317.16
280.82,152.63,3369.05,10.0,283.84
248.01,141.72,3369.05,8.44,181.13
215.6,129.54,3369.05,6.33,159.05
187.2,116.28,3369.05,5.2,139.32
162.95,101.57,3369.05,4.87,121.24
140.5,85.78,3369.05,4.97,102.74
119.38,70.57,3369.05,3.71,84.85
97.22,55.58,3369.05,2.21,67.08
72.99,41.11,3369.05,1.52,50.1
50.33,27.95,3369.05,1.25,41.38
30.38,16.68,3369.05,0.99,23.72
13.54,7.51,3369.05,0.48,10.66
3.04,1.75,3369.05,0.12,2.57
0.01,0.01,3369.05,0.0,0.01
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.0,0.0,3369.05,0.0,0.0
0.63,1.18,3369.05,0.0,0.59
4.79,17.15,3369.05,0.05,4.04
14.04,63.11,3369.05,0.12,11.44
25.44,132.44,3369.05,0.29,21.1
38.99,200.12,3369.05,0.71,32.4
53.95,263.31,3369.05,1.22,44.66
69.45,336.38,3369.05,1.99,57.33
84.57,412.17,3369.05,2.7,70.04
99.03,481.74,3369.05,3.39,82.58
113.1,545.8,3369.05,3.55,95.24
126.21,604.12,3369.05,3.4,107.56
138.38,663.39,3369.05,3.85,118.67
149.48,717.93,3369.05,5.06,128.2
159.42,762.58,3369.05,5.57,137.45
167.66,799.41,3369.05,5.58,144.43
174.9,828.71,3369.05,5.39,151.58
181.24,849.64,3369.05,5.79,159.33
186.21,862.94,3369.05,6.6,166.43
190.63,868.65,3369.05,7.6,172.17
193.63,866.86,3369.05,9.71,176.7
191.45,857.53,3369.05,10.66,178.39
187.68,840.63,3369.05,10.7,178.81
182.28,815.62,3369.05,9.77,179.01
174.27,782.68,3369.05,8.96,178.23
164.81,742.39,3369.05,8.77,175.7
154.16,692.68,3369.05,8.03,277.77
149.6,634.91,3369.05,8.24,266.46
142.57,577.19,3369.05,7.95,247.98
128.23,516.16,3369.05,6.94,216.7
112.67,448.54,3369.05,5.98,183.68
96.15,375.88,3369.05,4.89,150.43
77.59,301.27,3369.05,3.92,116.09
